smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,LUMO
CNCC1=CN=CC=C1,3.963287037,0.896666667,3.963287037,0.896666667,0.627269204,122.171,112.091,122.0843983,48,0,0.031232207,-0.315637227,0.315637227,0.031232207,1.666666667,2.555555556,3.111111111,14.80226247,10.27931615,1.841105848,-1.946309328,1.917894264,-2.040370907,5.068954705,0.813142832,2.61489994,159.8269363,6.527097737,5.463721453,5.463721453,4.431851653,2.967521497,2.967521497,1.891603641,1.891603641,1.103692945,1.103692945,0.706817814,0.706817814,-0.89,145.1665367,6.233304562,3.198271052,1.816389948,54.93079751,5.316788604,0,0,0,0,0,4.983978521,0,0,0,6.066367068,18.67749054,18.93844355,0,0,0,0,10.30076712,0,6.544756406,7.047671983,30.08987277,0,0,5.316788604,0,0,0,12.0316505,6.544756406,0,5.563451492,24.52642128,0,0,0,24.92,0,0,0,0,0,6.544756406,5.563451492,6.196843572,25.37724969,10.30076712,0,0,0,3.963287037,3.043981481,1.222222222,0,3.982314815,3.634583333,0.896666667,1.923611111,0.285714286,9,1,2,0,0,0,0,1,1,2,1,2,2,0,0,0,1,0.801,37.0007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.727377241
CC1=CC(=NC2=C1C(=O)NS2)C,11.22569822,-0.027777778,11.22569822,0.027777778,0.6689597,180.232,172.168,180.0357339,62,0,0.267337332,-0.275331958,0.275331958,0.267337332,1.5,2.25,3,32.13710018,10.17864914,2.051843351,-1.942258562,2.154934347,-1.987194435,7.122991782,1.244371483,3.025816146,483.2537843,8.715178471,6.841060446,7.657557027,5.68154055,3.6369363,4.453432881,2.7939359,3.588882522,1.778960441,2.555178324,1.298288753,2.135105792,-1.16,723.2665072,7.487142075,2.416072312,0.956030809,73.2252232,0,4.83039642,0,0,5.559266895,0,9.168077165,4.983978521,0,0,0,37.00977957,5.693927995,5.386224214,0,21.74910725,0,9.357518502,0,13.8474744,0,27.67755063,0,0,5.559266895,0,0,11.53248661,9.357518502,0,13.8474744,11.25737949,10.86090425,0,10.21662063,0,45.75,0,4.794537184,0,5.559266895,0,21.47400012,11.53248661,0,19.91384147,9.357518502,0,2.668240741,1.293657407,16.2735223,0.727407407,1.926157407,0,1.920925926,0,3.85675548,0,0.25,12,1,3,0,0,0,0,2,2,3,1,4,0,0,0,0,2,1.60144,49.7147,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.443380284
C1=CC=NC(=C1)C2=CSC(=N2)N,5.495567838,0.57930839,5.495567838,0.57930839,0.722041851,177.232,170.176,177.0360682,60,0,0.180114599,-0.375099675,0.375099675,0.180114599,1.25,2.166666667,2.75,32.13348927,10.28876965,2.006406984,-1.910969619,2.196527638,-1.839620248,7.133453274,1.282690198,2.445010249,368.8018151,8.388905057,6.266777097,7.083273678,5.860173345,3.484871092,4.364523904,2.285961639,3.175642606,1.449271542,2.12316217,0.919531848,1.476411489,-1.42,1054.808398,7.241017,2.905394955,1.285879652,73.90804725,5.733667477,5.693927995,5.13155848,0,0,0,4.983978521,4.983978521,0,11.33678588,6.066367068,12.13273414,11.57690634,5.693927995,0,16.46834436,0,9.967957042,0,0,5.733667477,29.77600755,0,11.38785599,5.733667477,5.13155848,0,11.33678588,9.967957042,0,0,0,29.77600755,0,11.38785599,0,51.8,0,0,0,0,5.13155848,11.38785599,11.33678588,6.196843572,23.57916398,9.967957042,5.733667477,0,1.425904195,8.265648148,2.479771353,7.207188209,0,5.713878496,1.740942933,0,0,0,12,2,3,0,0,0,0,2,2,4,1,4,1,0,0,0,2,1.7873,49.7574,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.013473695
C1=CN=CC=C1C2=NNC(=S)S2,4.917703137,0.696122449,4.917703137,0.696122449,0.709568185,195.272,190.232,194.9924892,60,0,0.176397991,-0.264688953,0.264688953,0.176397991,1.333333333,2.083333333,2.666666667,32.14896544,10.28082543,1.98690515,-1.897889521,2.192298256,-1.757807707,7.731775045,1.08251068,2.512807161,417.4714616,8.388905057,6.020324849,7.653318011,5.860173345,3.320000747,4.544745618,2.154167643,3.819905077,1.365377447,2.503685558,0.847830656,1.74239473,-1.07,1054.808398,7.572473664,3.120474333,1.413784566,78.11503835,0,5.007623697,3.954284969,0,0,0,10.08266033,0,5.098681808,0,11.33678588,24.35060758,17.95713863,0,0,23.55465932,0,15.18134214,0,0,0,28.48070625,0,10.57107519,0,0,0,23.55465932,15.18134214,0,3.954284969,0,24.52642128,0,10.57107519,0,41.57,0,0,0,0,3.954284969,10.57107519,11.33678588,12.39368714,12.13273414,15.18134214,12.21787344,0.696122449,6.378906841,3.918294596,7.682619992,1.043842593,0,3.808425926,3.471787604,0,0,0,12,1,3,0,0,0,0,2,2,4,1,5,1,0,0,0,2,2.26269,50.5297,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.297615207
C1=CC2=NN=C(N2C=C1)N,5.465555556,0.426481481,5.465555556,0.426481481,0.563803095,134.142,128.094,134.0592462,50,0,0.225925376,-0.367581427,0.367581427,0.225925376,1.3,2.2,3,15.28301556,10.47294585,1.954821956,-1.886824993,2.014569514,-1.915927325,5.41699198,1.117949762,2.931346196,351.2753029,6.974691495,5.228392132,5.228392132,4.877010098,2.92997635,2.92997635,1.987038113,1.987038113,1.34009832,1.34009832,0.859926823,0.859926823,-1.58,367.4718276,5.22417957,1.698122161,0.555845827,57.29720374,5.733667477,0,5.647177221,5.948339281,0,0,4.400694606,0,0,10.19736362,6.066367068,12.13273414,6.196843572,0,0,11.5955165,0,14.59805822,0,0,5.733667477,24.39594478,0,0,5.733667477,5.948339281,0,0,14.59805822,0,0,0,24.39594478,0,5.647177221,0,56.21,0,0,0,0,5.948339281,5.647177221,0,4.400694606,24.39594478,10.19736362,5.733667477,1.722222222,0,0,7.492685185,6.243333333,0.426481481,5.624537037,1.824074074,0,0,0,10,2,4,0,0,0,0,2,2,4,1,4,0,0,0,0,2,0.3115,37.3994,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.454291895
COC(=O)C1=CN=C(C=C1)C(=O)OC,10.9857224,-0.540355726,10.9857224,0.152919501,0.648162922,195.174,186.102,195.0531578,74,0,0.356137754,-0.465376925,0.465376925,0.356137754,1.142857143,1.785714286,2.214285714,16.52709126,10.23506094,2.091451982,-1.995487246,2.022564699,-2.065351645,5.908827976,0.058080755,2.886482128,309.3345163,10.55204176,7.812257565,7.812257565,6.68507051,3.814157586,3.814157586,2.415277683,2.415277683,1.579112305,1.579112305,0.857777534,0.857777534,-1.91,1533.476531,10.17271299,4.361157693,2.065661043,80.66095422,9.473725908,5.693927995,0,0,0,11.93861058,0,14.57305289,0,0,0,12.13273414,6.196843572,19.78304657,19.06280028,11.93861058,0,4.983978521,0,0,14.21959508,29.5869572,0,0,0,0,0,0,31.14218418,9.473725908,0,20.84645385,18.32957771,0,0,0,65.49,11.93861058,9.589074368,0,5.693927995,5.563451492,0,32.54917279,0,0,14.45770443,0,8.913140117,0,25.69204664,0,0.444727891,-1.03210034,2.85037037,1.261990741,0,2.536491245,0.222222222,14,0,5,0,0,0,0,1,1,5,0,5,2,0,0,0,1,0.6548,46.916,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2.686460397
C1=CC=NC(=C1)CNCCN,5.30975844,0.673446003,5.30975844,0.673446003,0.601303342,151.213,138.109,151.1109474,60,0,0.054114363,-0.329207902,0.329207902,0.054114363,1.454545455,2.363636364,3,14.89302652,10.33701485,1.885332717,-1.998945169,1.900912894,-2.216931311,5.022057341,0.682133951,2.275801287,185.7884758,7.9413113,6.455285285,6.455285285,5.431851653,3.739389284,3.739389284,2.286526793,2.286526793,1.35338075,1.35338075,0.821214573,0.821214573,-0.93,414.0733221,8.169304866,4.820134033,3.111942576,66.63563032,11.05045608,0,0,0,0,0,4.983978521,0,0,0,6.066367068,12.13273414,25.83111279,5.693927995,0,0,0,10.30076712,5.733667477,6.544756406,13.08951281,30.08987277,0,0,11.05045608,0,0,0,18.07349133,6.544756406,0,5.693927995,24.39594478,0,0,0,50.94,0,0,0,0,6.544756406,18.78344081,0,6.196843572,18.19910121,10.30076712,5.733667477,0,0,4.147230726,3.163842593,6.366193626,0,5.877388905,1.791130008,2.320880811,0,0.375,11,3,3,0,0,0,0,1,1,3,2,3,4,0,0,0,1,0.1299,44.9981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.735567752
C1=CC2=NN=NN2C=C1,3.720555556,0.775462963,3.720555556,0.775462963,0.495739811,120.115,116.083,120.0435961,44,0,0.178697411,-0.200701587,0.200701587,0.178697411,1.333333333,2.333333333,3.222222222,15.50662577,10.48545445,1.883500982,-1.81803342,1.910469914,-1.826292453,5.325595599,0.823167222,2.95465979,282.9357807,6.104448007,4.598255459,4.598255459,4.466326495,2.59408762,2.59408762,1.682291871,1.682291871,1.101941813,1.101941813,0.689269632,0.689269632,-1.45,254.26899,4.430954824,1.512388261,0.560793933,51.11386816,0,0,5.647177221,0,0,0,0,4.515397894,0,5.098681808,6.066367068,22.55950433,6.196843572,0,0,5.647177221,0,20.04084989,0,0,0,24.39594478,0,0,0,0,0,0,20.04084989,0,0,0,24.39594478,0,5.647177221,0,43.08,0,0,0,0,0,5.647177221,0,10.71224147,18.19910121,15.525452,0,1.611111111,0,0,10.85907407,0.775462963,0,5.620092593,1.800925926,0,0,0,9,0,4,0,0,0,0,2,2,4,0,4,0,0,0,0,2,0.1243,30.782,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-2.064552992
CC(=O)CC1=CC=CC=N1,10.57315193,0.151574074,10.57315193,0.151574074,0.609760478,135.166,126.094,135.0684139,52,0,0.135272391,-0.299592387,0.299592387,0.135272391,1.6,2.4,2.9,16.13723476,10.20565488,1.946519558,-1.920814476,1.935462709,-1.970093399,5.771075423,-0.115944562,2.674241602,217.9590175,7.397341225,5.871969744,5.871969744,4.7876937,3.181711749,3.181711749,2.199866761,2.199866761,1.156211966,1.156211966,0.757754211,0.757754211,-1.18,195.625462,6.933378685,3.106854972,1.973221425,59.90739954,0,5.783244946,0,0,0,0,9.778515705,0,0,0,6.066367068,19.05647134,18.31159319,0,4.794537184,5.783244946,0,4.983978521,0,13.34455882,0,30.08987277,0,0,0,0,0,0,10.76722347,11.21535881,0,12.61766519,24.39594478,0,0,0,29.96,0,4.794537184,0,5.783244946,6.420821623,5.693927995,0,13.12058077,18.19910121,4.983978521,0,0,0,14.57120748,0,0.842592593,0.151574074,5.565783258,2.138009259,1.564166667,0,0.25,10,0,2,0,0,0,0,1,1,2,0,2,2,0,0,0,1,1.2131,38.622,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.019351271
C1=CC(=CN=C1)C2=CC(=NN2)N,5.453168934,0.49430839,5.453168934,0.49430839,0.654849412,160.18,152.116,160.0748963,60,0,0.145298418,-0.382213757,0.382213757,0.145298418,1.416666667,2.333333333,2.916666667,15.15061911,10.20012301,1.986142677,-1.919785937,2.154334419,-1.805916891,5.599219661,1.10002492,2.445010249,365.5567026,8.388905057,6.358528806,6.358528806,5.860173345,3.573653715,3.573653715,2.448185456,2.448185456,1.57021436,1.57021436,1.007171988,1.007171988,-1.84,1054.808398,6.844729127,2.653856211,1.139528506,69.44529797,5.733667477,5.817862778,0,0,0,0,10.08266033,0,5.098681808,0,0,12.13273414,24.0235057,5.693927995,0,5.817862778,0,15.18134214,0,0,5.733667477,30.59278835,0,11.25737949,5.733667477,5.817862778,0,0,15.18134214,0,0,0,30.59278835,0,11.25737949,0,67.59,0,0,0,0,5.817862778,11.25737949,0,18.46005421,12.13273414,15.18134214,5.733667477,0,0,3.981721466,6.624713719,7.330298564,0.49430839,5.586637377,3.482320484,0,0,0,12,3,4,0,0,0,0,2,2,3,2,4,1,0,0,0,2,1.0539,46.2311,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.099977464
C1=CN=CC2=C1NC=C2CCN,5.476455971,0.682388511,5.476455971,0.682388511,0.691663877,161.208,150.12,161.0952974,62,0,0.048735621,-0.360797571,0.360797571,0.048735621,1.5,2.416666667,3.25,14.70628857,10.15058715,2.001281769,-1.92763733,2.154875338,-2.01249052,5.814606232,0.975741531,2.548405447,377.9090253,8.388905057,6.748178504,6.748178504,5.9150149,4.016233332,4.016233332,2.773847455,2.773847455,1.982603936,1.982603936,1.38116777,1.38116777,-1.35,1058.26876,7.307223379,2.948022844,1.07999856,70.61165098,10.717646,0,0,0,0,0,4.983978521,0,0,0,0,24.59539659,29.49345565,0,0,10.90292493,0,9.967957042,5.733667477,6.420821623,6.544756406,30.22034927,0,0,5.733667477,0,0,0,16.51271345,6.420821623,0,5.563451492,24.65689778,0,10.90292493,0,54.7,0,0,0,0,6.544756406,11.93752234,10.94967571,6.196843572,18.46005421,9.967957042,5.733667477,0,0,7.244591837,1.183287037,7.859835601,0,1.967609599,6.562287415,0.682388511,0,0.222222222,12,3,3,0,0,0,0,2,2,2,2,3,2,0,0,0,2,1.0641,48.8521,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.726778599
C1=CC(=CN=C1)C2=NOC(=C2)CN,5.391856418,0.368315618,5.391856418,0.368315618,0.744224373,175.191,166.119,175.0745619,66,0,0.15040582,-0.359409103,0.359409103,0.15040582,1.461538462,2.384615385,3,16.46021652,10.18587471,2.034075426,-1.89858492,2.163282378,-1.920858995,5.564701134,0.386676331,2.361712618,382.7681546,9.096011838,6.973883878,6.973883878,6.398178148,3.959871794,3.959871794,2.624289552,2.624289552,1.717439727,1.717439727,1.0595014,1.0595014,-1.68,1913.566176,7.942997133,3.365667532,1.571635931,75.37831167,10.25676241,5.693927995,5.760247419,0,0,0,4.983978521,0,0,0,5.156663257,12.13273414,24.0235057,6.544756406,4.523094937,0,0,10.14064178,5.733667477,6.544756406,0,36.35303577,0,11.25737949,5.733667477,0,0,0,10.14064178,6.544756406,0,5.760247419,35.11588329,0,11.25737949,0,64.94,0,0,0,0,12.30500382,11.25737949,0,12.39368714,18.19910121,10.14064178,10.25676241,4.96542706,0,3.983227986,3.862268519,7.099726789,0.679493575,5.591563681,3.449976773,0.368315618,0,0.111111111,13,2,4,0,0,0,0,2,2,4,1,4,2,0,0,0,2,1.1953,47.6254,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.260277465
CCN(CC)CC1=CC=CC=N1,4.272777778,0.966111111,4.272777778,0.966111111,0.675585987,164.252,148.124,164.1313485,66,0,0.054343184,-0.298064229,0.298064229,0.054343184,1.25,2,2.5,15.11191731,10.30677846,1.993007105,-2.162393332,1.987683266,-2.220245751,5.024911417,0.292071516,2.508062495,204.3383811,8.811554788,7.825148611,7.825148611,5.863703305,4.486931073,4.486931073,2.782464771,2.782464771,2.006179233,2.006179233,1.167967055,1.167967055,-0.89,655.7826356,9.200009001,4.881828586,2.624406814,74.23559534,0,0,0,0,0,0,9.883888252,0,0,0,19.91384147,25.22224695,12.74159998,5.693927995,0,0,0,9.883888252,0,20.39223081,13.08951281,30.08987277,0,0,0,0,0,0,22.97340106,6.544756406,0,19.54140239,24.39594478,0,0,0,16.13,0,0,0,0,0,25.32819721,0,0,18.32957771,29.79772972,0,0,0,6.622314815,0,1.153888889,0,6.051472978,1.846064815,7.49292517,0,0.5,12,0,2,0,0,0,0,1,1,2,0,2,4,0,0,0,1,1.9234,50.862,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.768465851
C1=CC(=NC=C1O)CO,8.708055556,-0.083055556,8.708055556,0.083055556,0.566406565,125.127,118.071,125.0476785,48,0,0.133386449,-0.506341952,0.506341952,0.133386449,1.444444444,2.222222222,2.666666667,16.2568859,10.34964205,1.886275143,-1.918659635,2.042672653,-1.847873772,5.166894689,0.276308753,2.881555878,182.754278,6.690234444,4.780798375,4.780798375,4.325698503,2.574552379,2.574552379,1.665849136,1.665849136,0.971121519,0.971121519,0.510216099,0.510216099,-1.09,129.2253387,6.03642225,2.457568887,1.399560028,52.60446072,10.21305479,5.749511833,0,0,0,0,4.983978521,0,0,0,0,12.13273414,0,18.49765353,10.21305479,0,0,4.983978521,0,6.606881965,0,24.0235057,0,5.749511833,0,0,5.749511833,0,15.19703331,6.606881965,0,5.693927995,18.32957771,0,0,0,53.35,0,0,0,12.3563938,5.693927995,0,12.26321064,6.066367068,0,4.983978521,10.21305479,0,0,3.696759259,17.19240741,0.562777778,0.117777778,3.049490741,1.297175926,-0.083055556,0,0.166666667,9,2,3,0,0,0,0,1,1,3,2,3,1,0,0,0,1,0.2795,31.8246,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.83129605
C1CNCCN(C1)C2=CC=CC=N2,4.342222222,1.066045918,4.342222222,1.066045918,0.689957438,177.251,162.131,177.1265975,70,0,0.128002215,-0.355301298,0.355301298,0.128002215,1.230769231,2.230769231,3.076923077,15.20006902,10.34449195,2.083733265,-2.198658375,2.092330415,-2.278608371,5.371449693,0.724049746,2.063713505,239.6065878,8.932875131,7.739362174,7.739362174,6.466326495,4.833649933,4.833649933,3.278537929,3.278537929,2.31335735,2.31335735,1.615639651,1.615639651,-1.09,1789.177854,8.505674877,4.232838515,2.184930558,78.77962637,10.21669833,5.817862778,0,0,0,0,0,4.983978521,0,0,6.066367068,25.09831217,25.83111279,0,0,5.817862778,0,10.30076712,0,6.420821623,31.07893535,24.39594478,0,0,10.21669833,5.817862778,0,0,31.16300414,0,0,6.420821623,24.39594478,0,0,0,28.16,0,0,0,0,0,31.9968884,6.420821623,0,18.32957771,21.26704392,0,0,0,6.675555556,3.377526219,0,1.102962963,6.0749452,3.059749622,4.375927107,0,0.5,13,1,3,0,1,1,0,1,1,3,1,3,1,0,1,1,2,0.8813,53.9367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.538560112
CN1CCN(CC1)C2=CC=CC=N2,4.334852608,1.090787037,4.334852608,1.090787037,0.633222624,177.251,162.131,177.1265975,70,0,0.12804668,-0.35405574,0.35405574,0.12804668,1.153846154,1.923076923,2.538461538,15.27020069,10.29817407,2.135107678,-2.325720435,2.105161632,-2.442960209,5.37559954,0.311788183,2.02698223,252.1321852,9.096011838,7.979468988,7.979468988,6.360173345,4.706212279,4.706212279,3.478260464,3.478260464,2.476551344,2.476551344,1.576352898,1.576352898,-1.09,1444.823681,8.505674877,3.747009933,1.980943519,78.98959786,9.799819462,5.817862778,0,0,0,0,0,4.983978521,0,0,6.066367068,19.18040612,32.3758692,0,0,5.817862778,0,9.883888252,0,0,38.12660734,24.39594478,0,0,4.899909731,5.817862778,0,0,43.11058586,0,0,0,24.39594478,0,0,0,19.37,0,0,0,0,0,31.9968884,0,0,18.32957771,27.89783703,0,0,0,9.014852608,0,0,1.107037037,6.0749452,1.854814815,4.4525548,2.162462207,0.5,13,0,3,0,1,1,0,1,1,3,0,3,1,0,1,1,2,0.8334,53.947,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.50830148
